Rotation,ABMI Site,Year,Field Date,Field Crew Member(s),Visit,Method of Travel,Route Tracked,Start Time,End Time,Days Since Snow,Snow Conditions,Temperature (Degrees Celsius),Weather,Starting Snow Depth 1 (centimetres),Starting Snow Depth 2 (centimetres),Starting Snow Depth 3 (centimetres),Ending Snow Depth 4 (centimetres),Ending Snow Depth 5 (centimetres),Ending Snow Depth 6 (centimetres)
Prototype,479,2004,20-Feb-05,RP,1,PNA,PNA,13:06,14:04,2,Crust,-5,PNA,50,PNA,PNA,PNA,PNA,PNA
Prototype,479,2004,20-Feb-05,JS2,1,PNA,PNA,13:23,14:15,2,Crust,-7,PNA,74,PNA,PNA,PNA,PNA,PNA
Prototype,479,2004,20-Feb-05,RP,1,PNA,PNA,14:04,15:00,2,Crust,-7,PNA,53,PNA,PNA,PNA,PNA,PNA
Prototype,481,2006,04-Feb-07,MD,1,PNA,PNA,11:00,15:30,4,Powder,-23,Overcast,DNC,DNC,DNC,56,46,46
Prototype,481,2006,04-Feb-07,SC,1,PNA,PNA,11:16,15:30,4,Powder,-23,Overcast,51,45,55,DNC,DNC,DNC
Prototype,482,2006,05-Feb-07,JL,1,PNA,PNA,9:35,11:30,5,Powder,-20,Overcast,48,53,46,56,52,DNC
Prototype,482,2006,05-Feb-07,MD,1,PNA,PNA,9:45,11:00,5,Powder,-20,Overcast,41,41,41,43,46,48
Prototype,483,2006,04-Feb-07,SM,1,PNA,PNA,8:57,15:45,4,Powder,-25,Clear,49,64,52,48,DNC,DNC
Prototype,483,2006,04-Feb-07,JL,1,PNA,PNA,9:00,15:45,4,Powder,-20,Clear,45,43,43,39,44,44
Prototype,507,2006,26-Feb-07,JL,1,PNA,PNA,10:45,15:00,3,Powder,-10,Clear,77,70,77,80,DNC,DNC
Prototype,507,2006,26-Feb-07,SC,1,PNA,PNA,11:00,15:00,3,Powder,-10,Clear,67,73,79,DNC,DNC,DNC
Prototype,508,2004,26-Feb-05,JB3,1,PNA,PNA,10:40,11:50,6,Powder,-6,PNA,68,PNA,PNA,PNA,PNA,PNA
Prototype,508,2004,26-Feb-05,DP2,1,PNA,PNA,11:06,12:10,6,Powder,-6,PNA,57,PNA,PNA,PNA,PNA,PNA
Prototype,508,2004,26-Feb-05,DP2,1,PNA,PNA,12:10,13:00,6,Powder,-1,PNA,59,PNA,PNA,PNA,PNA,PNA
Prototype,508,2004,25-Feb-05,DP2,1,PNA,PNA,13:42,14:40,5,Powder,6,PNA,65,PNA,PNA,PNA,PNA,PNA
Prototype,508,2004,25-Feb-05,JB3,1,PNA,PNA,14:12,15:30,5,Powder,1,PNA,57,PNA,PNA,PNA,PNA,PNA
Prototype,508,2004,25-Feb-05,DP2,1,PNA,PNA,14:40,15:49,5,Powder,2,PNA,58,PNA,PNA,PNA,PNA,PNA
Prototype,508,2004,25-Feb-05,DP2,1,PNA,PNA,15:49,16:15,5,Powder,0,PNA,68,PNA,PNA,PNA,PNA,PNA
Prototype,508,2004,26-Feb-05,JB3,1,PNA,PNA,9:30,10:40,6,Powder,-8,PNA,87,PNA,PNA,PNA,PNA,PNA
Prototype,508,2004,26-Feb-05,DP2,1,PNA,PNA,9:58,11:06,6,Powder,-6,PNA,80,PNA,PNA,PNA,PNA,PNA
Prototype,509,2006,03-Feb-07,MD,1,PNA,PNA,9:00,16:00,3,Powder,-27,Clear,DNC,DNC,DNC,41,33,30
Prototype,509,2006,03-Feb-07,SC,1,PNA,PNA,9:06,13:25,3,Powder,-30,Clear,49,27,46,DNC,DNC,DNC
Prototype,510,2004,11-Feb-05,DP2/JB3,1,PNA,PNA,10:00,11:32,8,Powder,4,PNA,52,PNA,PNA,PNA,PNA,PNA
Prototype,510,2004,11-Feb-05,JS2/RP,1,PNA,PNA,11:15,12:17,8,Powder,9,PNA,60,PNA,PNA,PNA,PNA,PNA
Prototype,510,2004,11-Feb-05,DP2/JB3,1,PNA,PNA,11:32,12:57,8,Powder,5,PNA,64,PNA,PNA,PNA,PNA,PNA
Prototype,510,2004,11-Feb-05,JS2/RP,1,PNA,PNA,12:17,13:20,8,Powder,7,PNA,46,PNA,PNA,PNA,PNA,PNA
Prototype,510,2004,11-Feb-05,DP2/JB3,1,PNA,PNA,12:57,14:12,8,Powder,4,PNA,57,PNA,PNA,PNA,PNA,PNA
Prototype,510,2004,11-Feb-05,JS2/RP,1,PNA,PNA,13:20,14:15,8,Powder,7,PNA,41,PNA,PNA,PNA,PNA,PNA
Prototype,510,2004,11-Feb-05,JS2/RP,1,PNA,PNA,8:53,9:34,8,Powder,2,PNA,47,PNA,PNA,PNA,PNA,PNA
Prototype,510,2004,11-Feb-05,JS2/RP,1,PNA,PNA,9:34,11:15,8,Powder,2,PNA,54,PNA,PNA,PNA,PNA,PNA
Prototype,510,2004,11-Feb-05,DP2/JB3,1,PNA,PNA,N/A,N/A,8,Powder,DNC,PNA,DNC,PNA,PNA,PNA,PNA,PNA
Prototype,511,2004,10-Feb-05,JS2/RP,1,PNA,PNA,10:10,11:04,7,Powder,0,PNA,46,PNA,PNA,PNA,PNA,PNA
Prototype,511,2004,10-Feb-05,DP2/JB3,1,PNA,PNA,10:32,11:33,7,Powder,-1,PNA,54,PNA,PNA,PNA,PNA,PNA
Prototype,511,2004,10-Feb-05,JS2/RP,1,PNA,PNA,11:04,12:30,7,Powder,1,PNA,52,PNA,PNA,PNA,PNA,PNA
Prototype,511,2004,10-Feb-05,DP2/JB3,1,PNA,PNA,11:33,12:33,7,Powder,2,PNA,79,PNA,PNA,PNA,PNA,PNA
Prototype,511,2004,10-Feb-05,DP2/JB3,1,PNA,PNA,12:33,13:30,7,Powder,3,PNA,31,PNA,PNA,PNA,PNA,PNA
Prototype,511,2004,10-Feb-05,DP2/JB3,1,PNA,PNA,8:17,9:23,7,Powder,-2,PNA,29,PNA,PNA,PNA,PNA,PNA
Prototype,511,2004,10-Feb-05,JS/RP,1,PNA,PNA,8:37,9:11,7,Powder,-2,PNA,29,PNA,PNA,PNA,PNA,PNA
Prototype,511,2004,10-Feb-05,JS2/RP,1,PNA,PNA,9:11,10:10,7,Powder,1,PNA,53,PNA,PNA,PNA,PNA,PNA
Prototype,511,2004,10-Feb-05,DP2/JB3,1,PNA,PNA,9:23,10:32,7,Powder,-2,PNA,68,PNA,PNA,PNA,PNA,PNA
Prototype,512,2005,18-Feb-06,JL,1,PNA,PNA,11:54,15:00,5,Powder,-7,Cloudy,40,36,35,15,12,17
Prototype,514,2006,05-Feb-07,SM,1,PNA,PNA,10:15,14:50,5,Powder,-20,Overcast,65,DNC,DNC,DNC,DNC,DNC
Prototype,514,2006,05-Feb-07,SC,1,PNA,PNA,10:45,14:50,5,Powder,-20,Clear,52,67,47,DNC,DNC,DNC
Prototype,514,2006,04-Feb-07,JL,1,PNA,PNA,15:33,16:00,4,Powder,-15,Clear,57,48,59,57,61,50
Prototype,521,2005,14-Jan-06,DD,1,PNA,PNA,10:58,14:15,3,Powder,-9,Cloudy,12,13,12.5,14,12,14
Prototype,521,2005,06-Mar-06,CG,2,PNA,PNA,9:10,11:52,3,Powder,-10,Cloudy,35,35,37,30,33,38
Prototype,538,2006,03-Feb-07,JL,1,PNA,PNA,10:34,13:45,3,Powder,-25,Overcast,50,41,60,41,54,57
Prototype,538,2006,03-Feb-07,SM,1,PNA,PNA,10:35,13:45,3,Powder,-25,Overcast,56,48,47,68,50,DNC
Prototype,539,2006,03-Feb-07,JL,1,PNA,PNA,14:10,15:45,3,Powder,-25,Clear,44,41,48,48,44,48
Prototype,539,2006,03-Feb-07,SM,1,PNA,PNA,14:24,15:45,3,Powder,-25,Clear,58,48,DNC,DNC,DNC,DNC
Prototype,539,2006,26-Feb-07,JL,1,PNA,PNA,9:00,10:00,3,Powder,-12,Overcast,70,67,DNC,DNC,DNC,DNC
Prototype,540,2005,04-Feb-06,JL,1,PNA,PNA,8:45,10:25,5,Powder,-7,Cloudy,25,25,26,25,27,24
Prototype,541,2005,04-Feb-06,JL,1,PNA,PNA,12:24,14:01,5,Powder,-5,Cloudy,40,38,38,40,30,26
Prototype,542,2004,24-Feb-05,RP2,1,PNA,PNA,10:04,10:47,4,Crust,-7,PNA,41,PNA,PNA,PNA,PNA,PNA
Prototype,542,2004,24-Feb-05,FT,1,PNA,PNA,10:41,11:16,4,Crust,-7,PNA,55,PNA,PNA,PNA,PNA,PNA
Prototype,542,2004,24-Feb-05,RP2,1,PNA,PNA,10:47,11:31,4,Crust,-5,PNA,28,PNA,PNA,PNA,PNA,PNA
Prototype,542,2004,24-Feb-05,FT,1,PNA,PNA,11:16,12:01,4,Crust,-7,PNA,12,PNA,PNA,PNA,PNA,PNA
Prototype,542,2004,24-Feb-05,RP2,1,PNA,PNA,11:31,12:22,4,Crust,-5,PNA,38,PNA,PNA,PNA,PNA,PNA
Prototype,542,2004,24-Feb-05,FT,1,PNA,PNA,12:01,12:53,4,Crust,-5,PNA,20,PNA,PNA,PNA,PNA,PNA
Prototype,542,2004,24-Feb-05,RP2,1,PNA,PNA,12:22,13:00,4,Crust,-4,PNA,42,PNA,PNA,PNA,PNA,PNA
Prototype,542,2004,24-Feb-05,RP2,1,PNA,PNA,9:18,10:04,4,Crust,-8,PNA,71,PNA,PNA,PNA,PNA,PNA
Prototype,542,2004,24-Feb-05,FT,1,PNA,PNA,9:59,10:41,4,Crust,-8,PNA,68,PNA,PNA,PNA,PNA,PNA
Prototype,544,2005,18-Feb-06,JL,1,PNA,PNA,8:35,11:20,5,Powder,-15,Cloudy,33,30,29,10,11,10
Prototype,545,2005,17-Feb-06,JL,1,PNA,PNA,12:14,14:57,4,Powder,-12,Cloudy,35,37,37,39,39,39
Prototype,571,2004,11-Feb-05,RP2,1,PNA,PNA,10:36,11:12,2,Powder,6,PNA,41,PNA,PNA,PNA,PNA,PNA
Prototype,571,2004,18-Feb-05,RP2,1,PNA,PNA,10:41,11:13,2,Powder,-9,PNA,32,PNA,PNA,PNA,PNA,PNA
Prototype,571,2004,11-Feb-05,RP2,1,PNA,PNA,11:12,11:51,2,Powder,6,PNA,35,PNA,PNA,PNA,PNA,PNA
Prototype,571,2004,18-Feb-05,RP2,1,PNA,PNA,11:13,11:30,2,Powder,-9,PNA,32,PNA,PNA,PNA,PNA,PNA
Prototype,571,2004,18-Feb-05,RP2,1,PNA,PNA,11:30,12:15,2,Powder,-9,PNA,32,PNA,PNA,PNA,PNA,PNA
Prototype,571,2004,11-Feb-05,FT,1,PNA,PNA,11:32,12:10,8,Powder,6,PNA,41,PNA,PNA,PNA,PNA,PNA
Prototype,571,2004,11-Feb-05,FT,1,PNA,PNA,12:10,13:16,8,Powder,4,PNA,60,PNA,PNA,PNA,PNA,PNA
Prototype,571,2004,18-Feb-05,RP2,1,PNA,PNA,12:15,12:51,2,Powder,-7,PNA,40,PNA,PNA,PNA,PNA,PNA
Prototype,571,2004,18-Feb-05,RP2,1,PNA,PNA,12:51,13:30,2,Powder,-4,PNA,36,PNA,PNA,PNA,PNA,PNA
Prototype,572,2004,08-Feb-05,RP2,1,PNA,PNA,10:02,10:38,5,Powder,-7,PNA,48,PNA,PNA,PNA,PNA,PNA
Prototype,572,2004,07-Feb-05,RP2,1,PNA,PNA,10:11,10:53,4,Powder,3,PNA,52,PNA,PNA,PNA,PNA,PNA
Prototype,572,2004,08-Feb-05,FT,1,PNA,PNA,10:30,11:28,5,Powder,-13,PNA,71,PNA,PNA,PNA,PNA,PNA
Prototype,572,2004,08-Feb-05,RP2,1,PNA,PNA,10:38,11:15,5,Powder,-7,PNA,41,PNA,PNA,PNA,PNA,PNA
Prototype,572,2004,07-Feb-05,RP2,1,PNA,PNA,10:53,11:36,4,Powder,4,PNA,42,PNA,PNA,PNA,PNA,PNA
Prototype,572,2004,08-Feb-05,RP2,1,PNA,PNA,11:15,11:54,5,Powder,-6,PNA,12,PNA,PNA,PNA,PNA,PNA
Prototype,572,2004,08-Feb-05,FT,1,PNA,PNA,11:28,12:15,5,Powder,-13,PNA,71,PNA,PNA,PNA,PNA,PNA
Prototype,572,2004,31-Jan-05,FT,1,PNA,PNA,13:07,13:56,3,Powder,3,PNA,60,PNA,PNA,PNA,PNA,PNA
Prototype,572,2004,08-Feb-05,RP2,1,PNA,PNA,N/A,N/A,5,Powder,DNC,PNA,DNC,PNA,PNA,PNA,PNA,PNA
Prototype,573,2004,27-Jan-05,RP2,1,PNA,PNA,10:05,10:26,3,Crust,-3,PNA,48,PNA,PNA,PNA,PNA,PNA
Prototype,573,2004,30-Jan-05,FT,1,PNA,PNA,10:13,10:44,2,Crust,-7,PNA,25,PNA,PNA,PNA,PNA,PNA
Prototype,573,2004,30-Jan-05,RP2,1,PNA,PNA,10:20,11:10,2,Crust,-7,PNA,25,PNA,PNA,PNA,PNA,PNA
Prototype,573,2004,27-Jan-05,RP2,1,PNA,PNA,10:26,11:08,3,Crust,-2,PNA,78,PNA,PNA,PNA,PNA,PNA
Prototype,573,2004,30-Jan-05,FT,1,PNA,PNA,10:44,11:30,2,Crust,-10,PNA,80,PNA,PNA,PNA,PNA,PNA
Prototype,573,2004,27-Jan-05,RP2,1,PNA,PNA,11:08,11:41,3,Crust,-3,PNA,28,PNA,PNA,PNA,PNA,PNA
Prototype,573,2004,27-Jan-05,FT,1,PNA,PNA,12:15,13:00,3,Crust,-2,PNA,46,PNA,PNA,PNA,PNA,PNA
Prototype,573,2004,27-Jan-05,FT,1,PNA,PNA,13:00,13:38,3,Crust,-3,PNA,75,PNA,PNA,PNA,PNA,PNA
Prototype,573,2004,27-Jan-05,FT,1,PNA,PNA,13:38,14:30,3,Crust,-3,PNA,55,PNA,PNA,PNA,PNA,PNA
Prototype,574,2004,21-Jan-05,RP2,1,PNA,PNA,10:00,11:05,2,Powder,-29,PNA,65,PNA,PNA,PNA,PNA,PNA
Prototype,574,2004,21-Jan-05,FT,1,PNA,PNA,10:48,11:45,2,Powder,-30,PNA,60,PNA,PNA,PNA,PNA,PNA
Prototype,574,2004,21-Jan-05,RP2,1,PNA,PNA,11:05,12:12,2,Powder,-27,PNA,51,PNA,PNA,PNA,PNA,PNA
Prototype,574,2004,21-Jan-05,FT,1,PNA,PNA,11:45,12:36,2,Powder,-28,PNA,75,PNA,PNA,PNA,PNA,PNA
Prototype,574,2004,21-Jan-05,RP2,1,PNA,PNA,12:12,13:05,2,Powder,-26,PNA,57,PNA,PNA,PNA,PNA,PNA
Prototype,574,2004,21-Jan-05,FT,1,PNA,PNA,12:36,13:35,2,Powder,-26,PNA,70,PNA,PNA,PNA,PNA,PNA
Prototype,574,2004,21-Jan-05,RP2,1,PNA,PNA,13:05,13:40,2,Powder,-24,PNA,48,PNA,PNA,PNA,PNA,PNA
Prototype,574,2004,21-Jan-05,FT,1,PNA,PNA,13:35,14:30,2,Powder,-26,PNA,70,PNA,PNA,PNA,PNA,PNA
Prototype,574,2004,21-Jan-05,RP2,1,PNA,PNA,9:24,10:00,2,Powder,-32,PNA,42,PNA,PNA,PNA,PNA,PNA
Prototype,575,2004,10-Feb-05,RP2,1,PNA,PNA,10:16,11:10,7,Powder,-2,PNA,48,PNA,PNA,PNA,PNA,PNA
Prototype,575,2004,09-Feb-05,RP2,1,PNA,PNA,10:25,11:04,6,Powder,-3,PNA,52,PNA,PNA,PNA,PNA,PNA
Prototype,575,2004,09-Feb-05,RP2,1,PNA,PNA,11:04,11:49,6,Powder,-2,PNA,49,PNA,PNA,PNA,PNA,PNA
Prototype,575,2004,10-Feb-05,RP2,1,PNA,PNA,11:10,12:00,7,Powder,-1,PNA,67,PNA,PNA,PNA,PNA,PNA
Prototype,575,2004,09-Feb-05,FT,1,PNA,PNA,11:12,12:06,6,Powder,-5,PNA,72,PNA,PNA,PNA,PNA,PNA
Prototype,575,2004,09-Feb-05,RP2,1,PNA,PNA,11:49,12:39,6,Powder,-2,PNA,42,PNA,PNA,PNA,PNA,PNA
Prototype,575,2004,09-Feb-05,FT,1,PNA,PNA,12:06,13:08,6,Powder,-1,PNA,65,PNA,PNA,PNA,PNA,PNA
Prototype,575,2004,09-Feb-05,FT,1,PNA,PNA,13:08,15:20,6,Powder,0,PNA,63,PNA,PNA,PNA,PNA,PNA
Prototype,575,2004,10-Feb-05,RP2,1,PNA,PNA,9:42,10:16,7,Powder,-2,PNA,48,PNA,PNA,PNA,PNA,PNA
Prototype,576,2005,17-Feb-06,JL,1,PNA,PNA,8:57,11:32,4,Powder,-16,Cloudy,40,42,43,55,57,58
Prototype,601,2005,24-Feb-06,JL,1,PNA,PNA,10:35,12:59,3,Powder,-15,Cloudy,25,20,18,28,50,30
Prototype,602,2004,26-Jan-05,FT,1,PNA,PNA,10:20,10:48,2,Crust,-3,PNA,18,PNA,PNA,PNA,PNA,PNA
Prototype,602,2004,26-Jan-05,RP2,1,PNA,PNA,10:23,11:08,2,Crust,-6,PNA,38,PNA,PNA,PNA,PNA,PNA
Prototype,602,2004,26-Jan-05,CG,1,PNA,PNA,10:25,11:08,2,Crust,-6,PNA,33,PNA,PNA,PNA,PNA,PNA
Prototype,602,2004,26-Jan-05,FT,1,PNA,PNA,10:48,11:45,2,Crust,-7,PNA,39,PNA,PNA,PNA,PNA,PNA
Prototype,602,2004,26-Jan-05,RP2,1,PNA,PNA,11:08,11:37,2,Crust,-5,PNA,32,PNA,PNA,PNA,PNA,PNA
Prototype,602,2004,26-Jan-05,RP2,1,PNA,PNA,11:37,12:22,2,Crust,-5,PNA,39,PNA,PNA,PNA,PNA,PNA
Prototype,602,2004,26-Jan-05,FT,1,PNA,PNA,11:45,12:34,2,Crust,-5,PNA,37,PNA,PNA,PNA,PNA,PNA
Prototype,602,2004,26-Jan-05,FT,1,PNA,PNA,12:34,13:23,2,Crust,-3,PNA,45,PNA,PNA,PNA,PNA,PNA
Prototype,602,2004,26-Jan-05,FT,1,PNA,PNA,13:23,14:00,2,Crust,-3,PNA,35,PNA,PNA,PNA,PNA,PNA
Prototype,603,2004,24-Feb-05,DP2,1,PNA,PNA,10:16,11:05,4,Powder,1,PNA,45,PNA,PNA,PNA,PNA,PNA
Prototype,603,2004,24-Feb-05,JB3,1,PNA,PNA,10:34,11:36,4,Powder,0,PNA,51,PNA,PNA,PNA,PNA,PNA
Prototype,603,2004,24-Feb-05,DP2,1,PNA,PNA,11:05,11:54,4,Powder,2,PNA,53,PNA,PNA,PNA,PNA,PNA
Prototype,603,2004,24-Feb-05,JB3,1,PNA,PNA,11:36,12:30,4,Powder,1,PNA,52,PNA,PNA,PNA,PNA,PNA
Prototype,603,2004,24-Feb-05,DP2,1,PNA,PNA,11:54,12:44,4,Powder,4,PNA,55,PNA,PNA,PNA,PNA,PNA
Prototype,603,2004,24-Feb-05,JB3,1,PNA,PNA,12:30,13:19,4,Crust,2,PNA,34,PNA,PNA,PNA,PNA,PNA
Prototype,603,2004,24-Feb-05,DP2,1,PNA,PNA,12:44,13:30,4,Powder,4,PNA,38,PNA,PNA,PNA,PNA,PNA
Prototype,603,2004,24-Feb-05,JB3,1,PNA,PNA,9:25,10:34,4,Powder,-2,PNA,63,PNA,PNA,PNA,PNA,PNA
Prototype,603,2004,24-Feb-05,DP2,1,PNA,PNA,9:25,10:16,4,Powder,-1,PNA,65,PNA,PNA,PNA,PNA,PNA
Prototype,604,2004,19-Feb-05,RP2,1,PNA,PNA,10:00,10:38,3,Powder,-15,PNA,35,PNA,PNA,PNA,PNA,PNA
Prototype,604,2004,22-Feb-05,RP2,1,PNA,PNA,10:16,11:03,2,Powder,-11,PNA,40,PNA,PNA,PNA,PNA,PNA
Prototype,604,2004,22-Feb-05,FT,1,PNA,PNA,10:24,11:04,2,Powder,-11,PNA,61,PNA,PNA,PNA,PNA,PNA
Prototype,604,2004,19-Feb-05,RP2,1,PNA,PNA,10:38,11:32,3,Powder,-11,PNA,42,PNA,PNA,PNA,PNA,PNA
Prototype,604,2004,19-Feb-05,FT,1,PNA,PNA,10:43,12:41,3,Powder,-10,PNA,68,PNA,PNA,PNA,PNA,PNA
Prototype,604,2004,22-Feb-05,RP2,1,PNA,PNA,11:03,12:00,2,Powder,-8,PNA,27,PNA,PNA,PNA,PNA,PNA
Prototype,604,2004,19-Feb-05,FT,1,PNA,PNA,12:41,13:09,3,Powder,-10,PNA,68,PNA,PNA,PNA,PNA,PNA
Prototype,604,2004,19-Feb-05,FT,1,PNA,PNA,13:09,14:00,3,Powder,-7,PNA,65,PNA,PNA,PNA,PNA,PNA
Prototype,604,2004,22-Feb-05,RP2,1,PNA,PNA,9:30,10:16,2,Powder,-11,PNA,40,PNA,PNA,PNA,PNA,PNA
Prototype,605,2004,23-Feb-05,FT,1,PNA,PNA,10:12,10:51,3,Powder,-13,PNA,48,PNA,PNA,PNA,PNA,PNA
Prototype,605,2004,23-Feb-05,RP2,1,PNA,PNA,10:18,10:50,3,Powder,-5,PNA,38,PNA,PNA,PNA,PNA,PNA
Prototype,605,2004,23-Feb-05,RP2,1,PNA,PNA,10:50,11:32,3,Powder,-3,PNA,41,PNA,PNA,PNA,PNA,PNA
Prototype,605,2004,23-Feb-05,FT,1,PNA,PNA,10:51,11:34,3,Powder,-10,PNA,57,PNA,PNA,PNA,PNA,PNA
Prototype,605,2004,23-Feb-05,FT,1,PNA,PNA,11:34,12:30,3,Powder,-8,PNA,70,PNA,PNA,PNA,PNA,PNA
Prototype,605,2004,23-Feb-05,RP2,1,PNA,PNA,9:01,9:22,3,Powder,-11,PNA,41,PNA,PNA,PNA,PNA,PNA
Prototype,605,2004,23-Feb-05,RP2,1,PNA,PNA,9:22,9:49,3,Powder,-11,PNA,41,PNA,PNA,PNA,PNA,PNA
Prototype,605,2004,23-Feb-05,FT,1,PNA,PNA,9:31,10:12,3,Powder,-15,PNA,58,PNA,PNA,PNA,PNA,PNA
Prototype,605,2004,23-Feb-05,RP2,1,PNA,PNA,9:49,10:18,3,Powder,-7,PNA,36,PNA,PNA,PNA,PNA,PNA
Prototype,606,2004,24-Feb-05,JS2,1,PNA,PNA,10:34,11:13,4,Crust,0,PNA,32,PNA,PNA,PNA,PNA,PNA
Prototype,606,2004,24-Feb-05,RP,1,PNA,PNA,10:42,11:34,4,Crust,2,PNA,36,PNA,PNA,PNA,PNA,PNA
Prototype,606,2004,24-Feb-05,JS2,1,PNA,PNA,11:13,11:56,4,Crust,-1,PNA,34,PNA,PNA,PNA,PNA,PNA
Prototype,606,2004,24-Feb-05,RP,1,PNA,PNA,11:34,12:41,4,Crust,3,PNA,46,PNA,PNA,PNA,PNA,PNA
Prototype,606,2004,24-Feb-05,JS2,1,PNA,PNA,11:56,12:58,4,Crust,3,PNA,40,PNA,PNA,PNA,PNA,PNA
Prototype,606,2004,24-Feb-05,RP,1,PNA,PNA,12:41,13:40,4,Crust,-2,PNA,60,PNA,PNA,PNA,PNA,PNA
Prototype,606,2004,24-Feb-05,JS2,1,PNA,PNA,12:58,13:54,4,Crust,4,PNA,52,PNA,PNA,PNA,PNA,PNA
Prototype,606,2004,24-Feb-05,RP,1,PNA,PNA,13:40,14:20,4,Crust,5,PNA,40,PNA,PNA,PNA,PNA,PNA
Prototype,606,2004,24-Feb-05,RP,1,PNA,PNA,9:50,10:42,4,Crust,-2,PNA,40,PNA,PNA,PNA,PNA,PNA
Prototype,633,2005,03-Feb-06,JL,1,PNA,PNA,8:43,12:14,4,Powder,-7,Clear,15,21,20,15,15,14
Prototype,634,2005,03-Feb-06,JL,1,PNA,PNA,13:30,15:35,4,Powder,1,Clear,18,22,21,25,25,25
Prototype,635,2005,19-Feb-06,JL,1,PNA,PNA,12:21,14:06,6,Powder,-12,Cloudy,41,35,40,30,30,30
